Participant Public ID,Participant Private ID,consent_fair_offer,consent_conditionally_fair_offer,consent_unfair_offer,rejection_fair_offer,rejection_conditionally_fair_offer,rejection_unfair_offer
7twy19yo,7079134.0,6,6,15,0,0,3
th29xh3g,7087745.0,6,1,0,0,5,18
gtz9hdm0,7098218.0,6,6,5,0,0,13
1vwa9zu0,7099724.0,6,4,7,0,2,11
b5crcyvi,7104366.0,1,2,7,4,4,11
wnqj5z4k,7121562.0,6,6,2,0,0,16
0uoo5kh7,7181402.0,6,2,0,0,4,18
0p7anajn,7172605.0,6,6,12,0,0,5
z42xlm7e,7166368.0,6,2,0,0,3,18
xlb6p1dl,7164473.0,6,6,11,0,0,7
u057m3ng,7164279.0,6,4,0,0,2,18
9w1nf1v4,7163457.0,6,6,3,0,0,15
1rqi42j1,7155088.0,5,6,8,0,0,10
r4sljsxi,7113114.0,6,6,5,0,0,13
pizf0xl9,7112409.0,6,3,0,0,3,18
y6c0zfri,7112357.0,6,6,7,0,0,11
cvnto96v,7111110.0,6,6,3,0,0,15
yh2q7t42,7106371.0,6,6,4,0,0,14
4cv46tvn,7106086.0,6,5,9,0,1,9
0hjwcx6v,7105935.0,6,5,0,0,1,18
hjs05elp,7105841.0,6,4,0,0,2,18
4xa77yhr,7104869.0,6,6,0,0,0,18
h9zvnfom,7104367.0,6,0,0,0,6,18
ttzargm5,7104333.0,6,3,0,0,3,18
k3csne5w,7103320.0,5,6,9,0,0,9
mb0pshap,7103266.0,4,1,3,2,5,15
okzx8a7a,7103065.0,5,5,15,0,1,3
yf4a131x,7100652.0,6,2,0,0,3,18
mb9258vf,7098228.0,6,6,3,0,0,15
hmum7vgx,7095819.0,6,0,0,0,6,18
sae8jgpu,7094176.0,6,6,8,0,0,10
sw6vfxhc,7094079.0,6,6,2,0,0,16
jk358pc7,7093847.0,6,5,18,0,1,0
ml6fblps,7093782.0,6,6,6,0,0,12
acjqdb3l,7092846.0,6,6,4,0,0,14
twc3nzbp,7092712.0,3,1,0,3,5,18
m9tqrb83,7092702.0,6,6,14,0,0,4
73squ06q,7089810.0,6,6,12,0,0,6
u0d4zq5g,7089327.0,6,6,6,0,0,12
36vy1hj0,7088082.0,5,4,12,0,1,6
jjmyn21n,7087347.0,6,5,2,0,1,16
lfgfpb3m,7086244.0,6,5,2,0,1,16
p1g1c64l,7085219.0,6,3,6,0,3,12
ooow2f93,7081909.0,6,3,0,0,3,17
0yk9ahe7,7081880.0,6,6,7,0,0,11
oa55ay3d,7080686.0,6,6,3,0,0,14
uge0tm08,7080494.0,6,3,2,0,3,16
8upkr85m,7080178.0,6,6,13,0,0,5
su0ury6k,7080121.0,6,6,14,0,0,4
1zwzs6za,7080093.0,6,6,17,0,0,1
f4mqa2t1,7079758.0,5,4,4,1,2,14
0pz0b5pc,7079747.0,6,3,0,0,2,18
upwdqymh,7079176.0,6,5,3,0,1,15
z7gqql7h,7079159.0,5,6,4,1,0,14
vtu3rzu1,6915128.0,6,6,4,0,0,14
cfewczy0,6908721.0,6,6,0,0,0,18
zu8icgg1,6908178.0,6,6,10,0,0,8
g745k5aw,6906816.0,6,6,18,0,0,0
w96zxzom,6905533.0,6,6,0,0,0,18
8kcn2jh1,6902731.0,5,6,18,0,0,0
4uswuqa3,6902485.0,6,6,3,0,0,15
em3z5ncy,6902136.0,6,1,1,0,5,17
